frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.19,0.00,0.00,0.00,0.41,1.70,0.20,0.00,0.55,0.12,0.29,0.70,0.11,0.00,0.47,0.11,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0,0.040,0.98,1,0.07,0.00,0.00,0.04,0.48,1.51,0.27,0.00,0.65,0.20,0.34,0.69,0.07,0.00,0.50,0.05,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,0,0.080,0.98,1,0.00,0.00,0.00,0.04,0.51,1.41,0.32,0.00,0.69,0.26,0.36,0.65,0.11,0.00,0.54,0.01,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0,0.120,0.98,1,0.00,0.00,0.00,0.00,0.52,1.51,0.31,0.00,0.70,0.26,0.24,0.64,0.10,0.00,0.58,0.05,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0,0.160,0.98,1,0.00,0.00,0.00,0.00,0.51,1.58,0.32,0.00,0.65,0.22,0.38,0.64,0.10,0.00,0.56,0.12,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0,0.200,0.98,1,0.00,0.00,0.00,0.00,0.54,1.65,0.29,0.00,0.61,0.12,0.42,0.61,0.06,0.00,0.56,0.14,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0,0.240,0.98,1,0.00,0.00,0.00,0.00,0.56,1.64,0.26,0.00,0.56,0.04,0.50,0.58,0.03,0.00,0.55,0.09,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0,0.280,0.98,1,0.00,0.00,0.00,0.00,0.56,1.67,0.24,0.00,0.53,0.00,0.50,0.52,0.03,0.00,0.62,0.02,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0,0.320,0.98,1,0.00,0.00,0.00,0.00,0.56,1.72,0.23,0.00,0.52,0.00,0.57,0.53,0.00,0.00,0.63,0.01,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,0,0.360,0.98,1,0.03,0.00,0.00,0.00,0.54,1.71,0.24,0.00,0.56,0.00,0.57,0.60,0.00,0.00,0.61,0.02,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,0,0.400,0.98,1,0.06,0.00,0.00,0.00,0.51,1.75,0.19,0.00,0.57,0.00,0.53,0.63,0.02,0.00,0.62,0.08,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,0,0.440,0.98,1,0.06,0.00,0.00,0.00,0.55,1.69,0.22,0.02,0.54,0.00,0.40,0.58,0.06,0.00,0.67,0.19,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,0,0.480,0.98,1,0.05,0.00,0.00,0.00,0.60,1.63,0.28,0.03,0.52,0.00,0.27,0.51,0.06,0.00,0.70,0.23,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,0,0.520,0.98,1,0.02,0.00,0.00,0.00,0.68,1.39,0.32,0.03,0.53,0.00,0.18,0.47,0.04,0.00,0.69,0.24,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,0,0.560,0.98,1,0.02,0.00,0.03,0.00,0.66,1.45,0.29,0.03,0.58,0.00,0.13,0.48,0.00,0.00,0.69,0.24,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,0,0.600,0.98,1,0.00,0.00,0.06,0.00,0.65,1.50,0.24,0.02,0.59,0.00,0.18,0.37,0.00,0.00,0.73,0.33,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,0,0.640,0.98,1,0.00,0.00,0.06,0.00,0.64,1.76,0.24,0.04,0.63,0.00,0.14,0.27,0.00,0.00,0.78,0.42,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,0,0.680,0.98,1,0.00,0.00,0.03,0.00,0.64,1.81,0.16,0.02,0.65,0.00,0.18,0.26,0.00,0.00,0.72,0.42,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,0,0.720,0.98,1,0.00,0.00,0.00,0.00,0.60,1.77,0.09,0.02,0.65,0.00,0.17,0.36,0.05,0.00,0.69,0.39,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,0,0.760,0.98,1,0.00,0.00,0.00,0.00,0.58,1.66,0.03,0.00,0.61,0.00,0.16,0.39,0.05,0.00,0.63,0.28,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,0,0.800,0.98,1,0.00,0.00,0.02,0.00,0.51,1.48,0.01,0.00,0.58,0.00,0.07,0.32,0.06,0.00,0.57,0.18,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,0,0.840,0.98,1,0.00,0.00,0.02,0.00,0.48,1.55,0.01,0.00,0.56,0.00,0.01,0.18,0.06,0.00,0.42,0.06,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,0,0.880,0.98,1,0.00,0.00,0.02,0.00,0.42,1.51,0.00,0.00,0.56,0.00,0.00,0.09,0.08,0.00,0.22,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,0,0.920,0.98,1,0.00,0.00,0.00,0.00,0.34,1.43,0.00,0.00,0.48,0.03,0.00,0.04,0.23,0.00,0.07,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
