frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.03,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.16,0.38,0.18,0.06,0.00,0.00,0.23,0.29,0.54,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
2,0,0.040,0.98,1,0.01,0.03,0.23,0.00,0.00,0.00,0.00,0.00,0.14,0.35,0.06,0.02,0.00,0.00,0.17,0.10,0.44,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
3,0,0.080,0.98,1,0.01,0.03,0.19,0.00,0.00,0.00,0.00,0.00,0.14,0.43,0.00,0.00,0.00,0.00,0.14,0.00,0.44,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
4,0,0.120,0.98,1,0.01,0.03,0.25,0.00,0.00,0.00,0.00,0.00,0.18,0.54,0.00,0.00,0.00,0.00,0.12,0.00,0.56,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
5,0,0.160,0.98,1,0.08,0.00,0.32,0.00,0.01,0.00,0.00,0.00,0.19,0.59,0.00,0.02,0.00,0.00,0.06,0.00,0.53,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
6,0,0.200,0.98,1,0.09,0.02,0.34,0.00,0.01,0.00,0.00,0.00,0.22,0.56,0.01,0.02,0.00,0.00,0.05,0.00,0.53,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
7,0,0.240,0.98,1,0.14,0.08,0.26,0.00,0.01,0.00,0.00,0.00,0.21,0.56,0.02,0.02,0.00,0.00,0.06,0.00,0.56,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
8,0,0.280,0.98,1,0.08,0.08,0.24,0.00,0.00,0.00,0.00,0.00,0.18,0.51,0.05,0.00,0.00,0.00,0.05,0.00,0.67,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
9,0,0.320,0.98,1,0.08,0.06,0.23,0.00,0.00,0.00,0.00,0.00,0.17,0.50,0.06,0.00,0.00,0.00,0.06,0.00,0.77,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
10,0,0.360,0.98,1,0.07,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.16,0.47,0.16,0.00,0.00,0.00,0.07,0.00,0.75,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
11,0,0.400,0.98,1,0.12,0.04,0.21,0.00,0.00,0.00,0.00,0.00,0.20,0.48,0.24,0.00,0.00,0.00,0.07,0.00,0.72,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
12,0,0.440,0.98,1,0.16,0.04,0.30,0.00,0.00,0.00,0.00,0.00,0.19,0.34,0.23,0.01,0.00,0.00,0.07,0.00,0.45,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
13,0,0.480,0.98,1,0.12,0.04,0.33,0.00,0.00,0.00,0.00,0.00,0.18,0.25,0.16,0.01,0.00,0.00,0.06,0.00,0.23,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
14,0,0.520,0.98,1,0.05,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.16,0.19,0.12,0.04,0.00,0.00,0.10,0.00,0.10,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
15,0,0.560,0.98,1,0.05,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.16,0.22,0.23,0.06,0.00,0.00,0.06,0.00,0.08,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
16,0,0.600,0.98,1,0.07,0.03,0.41,0.00,0.00,0.00,0.00,0.00,0.18,0.15,0.24,0.09,0.00,0.00,0.08,0.00,0.12,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,0,0.640,0.98,1,0.07,0.03,0.46,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.31,0.09,0.00,0.00,0.04,0.00,0.05,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,0,0.680,0.98,1,0.06,0.05,0.48,0.00,0.00,0.00,0.00,0.00,0.10,0.14,0.24,0.14,0.00,0.00,0.03,0.00,0.06,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,0,0.720,0.98,1,0.03,0.02,0.50,0.00,0.00,0.00,0.00,0.00,0.07,0.15,0.27,0.15,0.00,0.00,0.00,0.00,0.01,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,0,0.760,0.98,1,0.03,0.02,0.51,0.00,0.01,0.07,0.00,0.00,0.06,0.06,0.25,0.17,0.00,0.00,0.00,0.00,0.01,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,0,0.800,0.98,1,0.02,0.00,0.51,0.00,0.01,0.07,0.00,0.00,0.09,0.01,0.33,0.15,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,0,0.840,0.98,1,0.08,0.00,0.50,0.00,0.01,0.07,0.00,0.00,0.09,0.00,0.35,0.12,0.00,0.00,0.00,0.00,0.02,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,0,0.880,0.98,1,0.10,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.11,0.03,0.22,0.08,0.00,0.00,0.02,0.00,0.02,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,0,0.920,0.98,1,0.19,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.09,0.02,0.00,0.00,0.02,0.00,0.02,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,0,0.960,0.98,1,0.35,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.01,0.00,0.00,0.02,0.03,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,0,1.000,0.98,1,0.47,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.01,0.00,0.00,0.00,0.08,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
